iter	Passed	Remaining
406	6509	73463
407	6528	73473
408	6541	73428
409	6557	73407
410	6571	73372
411	6588	73364
412	6602	73333
413	6617	73302
414	6632	73277
415	6645	73229
416	6662	73218
417	6676	73182
418	6691	73158
419	6706	73129
420	6722	73118
421	6738	73097
422	6751	73053
423	6764	73005
424	6779	72980
425	6864	73702
426	6880	73692
427	6897	73678
428	6911	73647
429	6928	73636
430	6946	73638
431	6962	73624
432	6981	73634
433	7008	73730
434	7047	73962
435	7073	74049
436	7088	74015
437	7107	74028
438	7124	74018
439	7140	74002
440	7156	73982
441	7172	73961
442	7190	73969
443	7207	73958
444	7232	74028
445	7252	74049
446	7267	74020
447	7282	73993
448	7299	73984
449	7315	73972
450	7331	73947
451	7344	73899
452	7365	73932
453	7394	74043
454	7411	74035
455	7441	74150
456	7458	74143
457	7486	74247
458	7502	74227
459	7521	74236
460	7540	74243
461	7555	74216
462	7572	74205
463	7587	74176
464	7603	74153
465	7621	74149
466	7641	74175
467	7666	74242
468	7690	74298
469	7709	74308
470	7728	74311
471	7761	74460
472	7826	74910
473	7842	74887
474	7858	74863
475	7877	74873
476	7894	74861
477	7910	74836
478	7926	74814
479	7941	74786
480	7959	74779
481	7974	74751
482	7988	74707
483	8010	74743
484	8025	74711
485	8049	74765
486	8067	74763
487	8083	74737
488	8106	74786
489	8125	74790
490	8139	74747
491	8155	74722
492	8170	74697
493	8190	74712
494	8210	74727
495	8226	74699
496	8249	74747
497	8273	74796
498	8296	74835
499	8314	74833
500	8336	74862
501	8376	75056
502	8465	75683
503	8483	75678
504	8497	75636
505	8512	75601
506	8529	75589
507	8542	75539
508	8557	75505
509	8575	75501
510	8590	75464
511	8608	75462
512	8624	75433
513	8641	75416
514	8654	75370
515	8667	75317
516	8681	75278
517	8698	75266
518	8714	75243
519	8727	75194
520	8743	75165
521	8757	75129
522	8770	75074
523	8784	75036
524	8802	75032
525	8818	75006
526	8836	74997
527	8852	74975
528	8878	75036
529	8900	75064
530	8924	75109
531	8951	75180
532	8968	75160
533	8983	75135
534	8999	75105
535	9026	75176
536	9044	75168
537	9068	75213
538	9088	75217
539	9101	75172
540	9116	75140
541	9131	75104
542	9146	75077
543	9163	75059
544	9267	75756
545	9304	75901
546	9325	75913
547	9339	75875
548	9360	75888
549	9380	75900
550	9421	76074
551	9442	76086
552	9458	76063
553	9475	76041
554	9488	75994
555	9508	75998
556	9522	75959
557	9538	75935
558	9563	75978
559	9581	75967
560	9604	75995
561	9622	75986
562	9639	75968
563	9652	75922
564	9674	75937
565	9692	75932
566	9707	75900
567	9724	75875
568	9740	75849
569	9759	75853
570	9778	75850
571	9795	75828
572	9823	75893
573	9841	75885
574	9865	75924
575	9885	75929
576	9901	75902
577	9916	75868
578	9936	75872
579	9954	75856
580	9971	75841
581	10044	76251
582	10089	76440
583	10113	76472
584	10126	76427
585	10141	76391
586	10156	76351
587	10170	76316
588	10188	76302
589	10205	76284
590	10220	76248
591	10238	76237
592	10259	76242
593	10288	76312
594	10301	76267
595	10316	76229
596	10329	76183
597	10369	76334
598	10390	76343
599	10405	76310
600	10424	76303
601	10440	76275
602	10455	76239
603	10468	76193
604	10482	76147
605	10497	76113
606	10511	76070
607	10524	76027
608	10541	76004
609	10555	75967
610	10568	75919
611	10583	75884
612	10604	75892
613	10617	75843
614	10635	75835
615	10654	75828
616	10669	75790
617	10686	75777
618	10703	75754
619	10717	75716
620	10731	75674
621	10744	75627
622	10760	75596
623	10774	75560
624	10792	75545
625	10870	75952
626	10905	76058
627	10923	76048
628	10938	76011
629	10958	76010
630	10972	75973
631	10987	75942
632	11003	75914
633	11018	75880
634	11032	75836
635	11044	75785
636	11060	75756
637	11080	75755
638	11094	75719
639	11108	75675
640	11124	75651
641	11138	75613
642	11154	75580
643	11171	75561
644	11184	75519
645	11198	75477
646	11213	75442
647	11227	75401
648	11240	75359
649	11254	75321
650	11269	75287
651	11281	75232
652	11351	75566
653	11372	75571
654	11402	75636
655	11416	75599
656	11433	75576
657	11449	75555
658	11468	75545
659	11483	75509
660	11500	75490
661	11517	75469
662	11534	75451
663	11548	75414
664	11565	75395
665	11580	75362
666	11601	75368
667	11615	75327
668	11630	75297
669	11644	75254
670	11663	75248
671	11676	75201
672	11690	75164
673	11707	75144
674	11721	75106
675	11737	75076
676	11755	75065
677	11776	75072
678	11792	75047
679	11807	75010
680	11823	74989
681	11838	74952
682	11853	74922
683	11870	74899
684	11883	74858
685	11958	75203
686	11993	75297
687	12010	75276
688	12026	75247
689	12085	75488
690	12101	75461
691	12119	75451
692	12135	75422
693	12150	75386
694	12163	75345
695	12181	75327
696	12197	75299
697	12216	75297
698	12233	75275
699	12250	75256
700	12269	75247
701	12286	75223
702	12300	75182
703	12315	75154
704	12330	75119
705	12342	75070
706	12356	75027
707	12371	74999
708	12388	74977
709	12402	74940
710	12419	74917
711	12519	75397
712	12547	75442
713	12559	75393
714	12573	75351
715	12589	75324
716	12602	75282
717	12621	75272
718	12637	75242
719	12655	75227
720	12672	75211
721	12688	75182
722	12701	75140
723	12716	75102
724	12731	75073
725	12749	75058
726	12764	75023
727	12780	74997
728	12795	74964
729	12810	74934
730	12828	74919
731	12845	74897
732	12863	74881
733	12880	74863
734	12899	74851
735	12912	74808
736	12928	74780
737	12942	74746
738	12958	74715
739	12973	74684
740	12987	74649
741	13003	74621
742	13019	74597
743	13098	74926
744	13126	74972
745	13141	74935
746	13166	74962
747	13189	74973
748	13205	74950
749	13231	74976
750	13245	74939
751	13261	74912
752	13274	74872
753	13291	74849
754	13306	74817
755	13323	74795
756	13335	74748
757	13349	74708
758	13367	74692
759	13383	74665
760	13397	74628
761	13412	74596
762	13437	74618
763	13453	74595
764	13472	74585
765	13486	74547
766	13503	74523
767	13518	74493
768	13534	74463
769	13546	74419
770	13562	74390
771	13577	74359
772	13590	74318
773	13605	74283
774	13676	74556
775	13713	74646
776	13732	74635
777	13755	74646
778	13782	74680
779	13815	74743
780	13829	74705
781	13842	74667
782	13857	74633
783	13876	74621
784	13892	74596
785	13907	74561
786	13920	74520
787	13939	74506
788	13953	74470
789	13968	74439
790	13983	74408
791	14003	74402
792	14017	74364
793	14031	74327
794	14054	74338
795	14070	74310
796	14085	74282
797	14100	74248
798	14116	74223
799	14133	74198
800	14151	74182
801	14169	74167
802	14189	74163
803	14207	74145
804	14224	74128
805	14305	74436
806	14340	74511
